index,month,day,hour,dni,temp,wind,step_weight,azimuth,zenith,Absorbed power (kW),Field efficiency (%),Max flux (kW/m^2),Average flux (kW/m^2),Peak concentration ratio (-),Average concentration ratio (-),Shadowing and cosine efficiency (%),Blocking efficiency (%),Reflection and attenuation efficiency (%),Intercept efficiency (%),Absorption efficiency (%),Field efficiency w/o receiver (%)
262,6.0,9.0,16.77405494958657,495.15967456472055,32.857142857142854,6.257142857142857,7.0,281.68647475741915,65.24763318128987,3062.580973721433,33.83990092953578,56.655573496185085,0.7570713444317374,114.41879540370333,1.5289438605784191,66.92833056350453,99.8245092948856,88.2098,61.05638521378683,94.04462531992144,35.98281221751807
263,6.0,9.0,17.77405494958657,349.5328999478682,31.44285714285714,5.885714285714286,7.0,289.1732217147571,77.10304205586479,1660.2476675276735,25.98792413036002,28.06631235459009,0.38480671680867123,80.29662546437287,1.1009170148677392,50.06246100125218,99.77347452438721,88.202,62.711159493739935,94.06347848776528,27.628070477683043
266,6.0,16.0,5.798259523703564,504.34935201425066,20.957142857142856,7.171428571428572,7.0,70.50093421531767,76.90361011070598,2504.698701134986,27.1713236133677,42.754607858212275,0.5260493006434539,84.77181082410554,1.0430256300370742,50.581601654140165,99.7285883877516,88.2792,64.8758058873507,94.04969500878907,28.890389927185307
267,6.0,16.0,6.798259523703564,716.3751166538456,23.157142857142855,7.457142857142857,7.0,77.94620982630413,65.06571022353137,4652.141765805796,35.53032827176036,84.70308427424789,1.0294715210012715,118.23845120401725,1.4370565044328794,67.55560170467533,99.79618764339412,88.2184,63.57415951639395,93.96889036587588,37.81073516290338
268,6.0,16.0,7.798259523703564,821.1412768636944,25.885714285714283,8.17142857142857,7.0,85.4779738027773,52.8955488962522,5767.402547054923,38.42812129581455,115.61038405326029,1.420964972427152,140.7923183387249,1.7304756349046932,75.6021540600805,99.89774262885336,88.2088,61.404743152977915,93.9389011070247,40.90756954036895
269,6.0,16.0,8.798259523703564,867.6014918368255,28.42857142857143,8.314285714285715,7.0,94.02951818795924,40.59860481170554,6204.158013246893,39.12454786964371,135.5023253070877,1.7472629886412931,156.18037380296752,2.0139003967617777,80.67050151269241,99.95421753921539,88.24340000000001,58.47737605296872,94.02932987971802,41.608876634228594
270,6.0,16.0,9.798259523703564,865.6365278916409,30.5,7.428571428571428,7.0,105.7041750203054,28.477711454268107,6095.19524504306,38.524660395086144,141.64311805559734,1.9771061350713,163.62885979475215,2.2839911110114235,84.29498009961475,99.96716083941423,88.3092,55.06784080688535,94.01036738388119,40.97916162562673
271,6.0,16.0,10.798259523703564,871.2911401329059,32.857142857142854,8.085714285714287,7.0,127.36362923166138,17.395790224231337,6001.85004918276,37.68847931295898,144.9638796755363,2.158580772815634,166.37823225589514,2.4774506171224995,86.4192668694257,99.96445060332081,88.3278,52.529434948650234,94.0269417182676,40.08263868230955
272,6.0,16.0,11.798259523703564,877.4003149712238,34.214285714285715,7.057142857142858,7.0,179.98579279484775,11.495407768898732,5926.151706892823,36.95402520354563,144.52070372876977,2.2506162207267733,164.7146704449378,2.565096207881561,87.06783059446037,99.96938928216733,88.2044,51.15823328880189,94.08734205275991,39.276298381161084
273,6.0,16.0,12.798259523703564,843.736889795555,35.8,8.97142857142857,7.0,232.6317863464181,17.390411029541546,5637.996553796228,36.55986134442592,132.72486123604455,2.153909016399116,157.30598346624973,2.552820722252677,86.35970119908613,99.9664621917864,88.2586,51.04036087907604,94.00875813858465,38.88984608277727
274,6.0,16.0,13.798259523703564,825.1794734768353,36.58571428571428,8.442857142857141,7.0,254.300860783319,28.470726578339963,5547.484819707204,36.78192697566477,127.64802985132079,1.9878883620662227,154.6912325793622,2.409037580261656,84.31928462036478,99.96758295815708,88.2252,52.60361510534419,94.02430455268501,39.11959482247976
275,6.0,16.0,14.798259523703564,774.0249772115352,36.42857142857142,8.314285714285715,7.0,265.97870971648484,40.59051448971726,5238.629615944566,37.0296400253984,114.45703278051889,1.669187075270211,147.8725314431793,2.156502857677207,80.48626965531284,99.95467319372678,88.248,55.49179212769817,93.99201604961979,39.396580243421845
276,6.0,16.0,15.798259523703564,744.788311233345,36.199999999999996,9.128571428571426,7.0,274.53186651750485,52.88617207498997,4931.415168949133,36.22642569207757,98.50754822948466,1.3973867768289416,132.26247880603736,1.8762200691830342,75.17571581082316,99.90895687681322,88.30980000000001,58.112148558190356,93.9869714464035,38.544093010525245
277,6.0,16.0,16.798259523703564,660.748189124668,34.74285714285714,10.742857142857142,7.0,282.06477461985196,65.0546865935354,4052.0712095876584,33.55272975702207,74.99667442138421,1.0294761031379682,113.50265601293093,1.558046045501503,67.04110005798847,99.83716162275927,88.1856,60.49340087685423,93.9699134052828,35.70582172648443
278,6.0,16.0,17.798259523703564,494.3509160242828,33.099999999999994,10.057142857142855,7.0,289.51100497264656,76.89047431227151,2339.100738046491,25.88811054077196,39.86074598149184,0.5573233451497408,80.63249139308535,1.1273840648094697,50.357940057757254,99.76519224318469,88.2424,62.115608302133694,94.01026998953984,27.53753450942374
281,6.0,24.0,5.827173857927846,494.7604475093367,22.9875,6.462500000000001,8.0,70.44580378107037,76.86985483484555,2451.3090948877357,27.107525469187614,41.57107628375676,0.5192515063901095,84.02263457604352,1.0495008422845091,50.609243553663795,99.73713550211652,88.25840000000001,64.72921759835685,94.00408573013121,28.836539665954987
282,6.0,24.0,6.827173857927846,707.359504765509,25.737500000000004,6.850000000000001,8.0,77.88702344963183,65.03643969893984,4572.7019668341845,35.36873072264104,83.45156200718716,1.027372913433627,117.976165507031,1.4524056106013632,67.546819862268,99.81212677476744,88.251,63.23423231144392,94.00682226211849,37.62357866328327
283,6.0,24.0,7.827173857927846,802.0779857270445,28.262499999999996,6.137500000000001,8.0,85.41196159466408,52.86927216928745,5584.412715073199,38.09321976801279,112.55124508805078,1.4079274604422596,140.32456580394557,1.7553498356722037,75.60698758318802,99.90202593137732,88.1866,60.87023638992874,93.95153169683816,40.54560801726107
284,6.0,24.0,8.827173857927846,856.7119543171139,30.837500000000006,6.200000000000001,8.0,93.95170359645874,40.57343435917831,6035.727560165322,38.54620023275458,132.26313812509096,1.758184074039045,154.384606703099,2.0522464583098947,80.602814230893,99.95376875311608,88.252,57.69675506058187,93.9628647214854,41.022802302813
285,6.0,24.0,9.827173857927846,884.6065215737835,33.0,5.975000000000001,8.0,105.6057349671983,28.45048988120512,6123.607132602822,37.87424245832013,144.23291094382742,2.0613554256488533,163.0475329157939,2.3302512194704854,84.2732275196144,99.96806443283792,88.3028,54.1430943895526,94.03196176973968,40.278052000089616
286,6.0,24.0,10.827173857927846,894.7634497159552,35.00000000000001,5.300000000000001,8.0,127.238936269898,17.359574274069402,6056.07080161814,37.031344493954286,145.72241914917961,2.2609753151196657,162.86139000809607,2.5268972663528193,86.4305558007765,99.96671715696597,88.3338,51.593578575926,94.04250275464558,39.37724263949896
287,6.0,24.0,11.827173857927846,892.442122775703,36.875,5.862500000000002,8.0,179.98394962539288,11.445756839777502,5884.4623209122765,36.07559455903572,143.27826103887605,2.3455943534420314,160.54627788438233,2.628287362934737,87.05542632695071,99.96938824100297,88.20139999999999,49.96983251374549,94.05182861785813,38.357143172212446
288,6.0,24.0,12.827173857927846,857.2578797596161,37.925000000000004,5.425000000000001,8.0,232.74362188202682,17.356831432217735,5622.844302758296,35.886519837847956,132.09376118144328,2.2293682923358618,154.08871041055198,2.600580694529165,86.32585176649096,99.96736987605085,88.262,50.08840209807646,94.06352812334539,38.15136488479361
289,6.0,24.0,13.827173857927846,836.7495972345905,38.41250000000001,5.3375,8.0,254.38185767377348,28.44746938750801,5535.911828978169,36.197653968295995,127.828181838775,2.052007210336816,152.76754510697086,2.4523551814289273,84.30803299940838,99.96736351603721,88.2448,51.747075360478824,94.05422219885563,38.48594259996593
290,6.0,24.0,14.827173857927846,775.7028535846739,38.675000000000004,6.512500000000001,8.0,266.03709007926,40.57084689384469,5154.967170090045,36.3594484230121,113.30815338375741,1.7139162790299847,146.07159540555816,2.2095010623070985,80.53961568776936,99.95739569877853,88.254,54.4356831609542,94.01014551906242,38.676089928655095
291,6.0,24.0,15.827173857927846,741.4455214094332,38.3875,6.387500000000001,8.0,274.5769062635776,52.867506555470335,4827.484328115591,35.622828326672945,97.32009700304424,1.4252328268184886,131.25724573539256,1.9222353978337154,75.17838851325108,99.91123489917688,88.323,57.119869091139854,94.00696753509558,37.893817086881235
292,6.0,24.0,16.827173857927846,640.76386515796,37.599999999999994,7.537500000000001,8.0,282.10141155754684,65.03586547108468,3855.6874686508627,32.92233146584751,72.34638278293205,1.0303432155341072,112.9064647943238,1.6079920725244217,67.08000836575886,99.83851579687465,88.182,59.309901453436865,93.99228591892937,35.026631328281375
293,6.0,24.0,17.827173857927846,455.461702708968,36.362500000000004,6.562500000000002,8.0,289.54188045253693,76.87089297879358,2102.2651084724293,25.25354716048366,36.895068837315925,0.5339491215326913,81.00586419862226,1.1723249580741926,50.30687296656039,99.77267936912291,88.24539999999999,60.61414189140074,94.06268972185372,26.84757073730209
296,7.0,2.0,5.854229877910257,525.9623036237473,21.357142857142858,5.9714285714285715,7.0,70.7708776213992,77.07164188849639,2591.8278728872992,26.961143552899056,44.46983950128233,0.5467384588549326,84.5494804378496,1.039501224874944,50.30082864656037,99.73514198702468,88.1982,64.78560693733615,94.05387763123724,28.665637432416403
297,7.0,2.0,6.854229877910257,727.310560786077,24.44285714285714,6.128571428571429,7.0,78.25135765170143,65.21938892590964,4716.544934388479,35.480591730509104,87.03917278674618,1.0516455614662623,119.67263708184612,1.4459374277882673,67.57409930733725,99.80769709914811,88.29820000000001,63.37503006976185,94.01053509849349,37.74108050053815
298,7.0,2.0,7.854229877910257,814.6546302202472,26.885714285714283,6.771428571428572,7.0,85.83661265957143,53.04121846742085,5714.084726571157,38.376018696598535,114.61544064210736,1.4158491886279203,140.69206310301132,1.7379747639133116,75.62253914847544,99.8979971167185,88.2328,61.23336222584261,94.02291524619808,40.81560180952836
299,7.0,2.0,8.854229877910257,861.8306137559817,29.11428571428571,6.7,7.0,94.47527263104618,40.7460608497436,6156.32291058571,39.08285181372664,134.76910324264745,1.7471453304260096,156.3753956886079,2.0272490934288108,80.82082951880507,99.95174335621559,88.278,58.30018337311329,94.0048287954838,41.575366196086584
300,7.0,2.0,9.854229877910257,901.7899276105293,31.514285714285712,5.742857142857143,7.0,106.29849246152635,28.646218164736393,6317.3832465911755,38.32821691749075,148.75160256000967,2.0777735061733877,164.95150145905538,2.3040549052026558,84.34498531649162,99.96309603859747,88.3374,54.72273307906252,94.0388388090094,40.757858564517605
301,7.0,2.0,10.854229877910257,918.8311427683132,33.97142857142857,5.6000000000000005,7.0,128.15272836810902,17.631968757840074,6274.413559064238,37.36149151235489,150.6975198610676,2.300088700959889,164.01002626776068,2.503276819753883,86.47812790742138,99.96602422246433,88.29820000000001,52.0359540581999,94.06111749747448,39.72044188541353
302,7.0,2.0,11.854229877910257,928.172853832238,35.957142857142856,5.228571428571429,7.0,179.99194966931492,11.834880300057794,6177.568128611844,36.41459237066983,150.14901995044224,2.423656293037326,161.76838110542374,2.6112122144388725,87.173809430796,99.97029720929811,88.2072,50.416302831675765,93.96008781400705,38.75538350150556
303,7.0,2.0,12.854229877910257,921.4626602823076,37.842857142857135,5.371428571428571,7.0,231.82980409411613,17.6356134199295,6063.828155710569,36.004427983182275,143.095772740086,2.398606557501797,155.29199272843667,2.6030425983478684,86.50834698839557,99.9698642304276,88.2672,50.17848926684542,93.9965400268306,38.303992862827805
304,7.0,2.0,13.854229877910257,899.4930904202162,39.44285714285714,5.957142857142857,7.0,253.67767877495498,28.651708826864454,5894.894335087438,35.85625806087095,136.90650562889184,2.230691632799867,152.20406591998747,2.4799430440958194,84.38434434304888,99.9653057290899,88.19900000000001,51.25668606893172,94.02419001509111,38.135141664199324
305,7.0,2.0,14.854229877910257,869.9786210878572,39.75714285714286,5.328571428571429,7.0,265.4981107424618,40.753661886641375,5727.969661255738,36.022918893558405,125.6092127435779,1.942223006061189,144.38195341686782,2.2324950969858928,80.54962253766296,99.95782924926995,88.2128,53.9253489627516,94.05329239311027,38.30054002043336
306,7.0,2.0,15.854229877910257,807.1797378153663,38.88571428571429,6.557142857142858,7.0,274.13462466918475,53.051701464110174,5237.366276786737,35.50009110315855,105.9753306227362,1.5608175350722004,131.29087074157567,1.93366788331005,75.17797249373918,99.91671457087635,88.3708,56.85638955708675,94.06166214498852,37.7412968191419
