helio_id,x_location,y_location,z_location,x_aimpoint,y_aimpoint,z_aimpoint,focal_length,slant_range
1034,-17.876924963471293,103.93448274902147,0.0,1.2799999999999998,0.6400000000000006,51.10851251684408,"(93.14180625653468, 93.14180625653468)",116.82815581925605
1035,16.72120329556153,97.21524361804774,0.0,1.2799999999999998,1.5675479029086118e-16,50.0,"(93.14180625653468, 93.14180625653468)",110.4048656125772
1036,11.56377704059579,101.39447610545267,0.0,1.2799999999999998,0.6400000000000006,51.10851251684408,"(93.14180625653468, 93.14180625653468)",113.44293974148115
1037,-5.984671747769079,105.2907633865748,0.0,-1.2800000000000002,-0.6400000000000003,48.89148748315592,"(93.14180625653468, 93.14180625653468)",116.76402749234177
1038,-31.878810879937337,89.92834907967544,0.0,-1.2800000000000002,0.7200000000000002,51.24707658144959,"(93.14180625653468, 93.14180625653468)",107.33442891697128
1039,-22.978597739792875,99.43110564635501,0.0,-1.2800000000000002,-0.6400000000000003,48.89148748315592,"(93.14180625653468, 93.14180625653468)",113.4699646491215
1040,49.70875219409794,29.297268734572572,0.0,0.31999999999999973,0.7200000000000003,51.24707658144959,"(93.14180625653468, 93.14180625653468)",76.69531921677458
1041,4.956884110651374e-15,102.05175512524919,0.0,1.2799999999999998,-0.6400000000000001,48.89148748315592,"(93.14180625653468, 93.14180625653468)",113.74362627866114
1042,-59.28040261539991,58.16473472608717,0.0,-1.2800000000000002,-0.7200000000000004,48.75292341855041,"(93.14180625653468, 93.14180625653468)",95.9599199101645
1043,-57.44732652750516,37.49352843948144,0.0,-8.817456953860947e-17,0.7200000000000003,51.24707658144959,"(93.14180625653468, 93.14180625653468)",85.31559398604752
1044,-48.669366570387034,19.00934658627942,0.0,2.939152317953649e-17,-0.2400000000000001,49.58430780618347,"(93.14180625653468, 93.14180625653468)",72.0961036879231
1045,22.578321432759896,108.58823499915519,0.0,1.2799999999999998,1.5675479029086118e-16,50.0,"(93.14180625653468, 93.14180625653468)",121.42908743824485
1046,5.597769927217886,98.4838423458884,0.0,1.2799999999999998,-0.6400000000000001,48.89148748315592,"(93.14180625653468, 93.14180625653468)",110.60993086912457
1047,46.38353208273215,106.716365000779,0.0,1.2799999999999998,1.5675479029086118e-16,50.0,"(93.14180625653468, 93.14180625653468)",126.18522562216837
1048,-11.56377704059578,101.39447610545267,0.0,1.2799999999999998,1.5675479029086118e-16,50.0,"(93.14180625653468, 93.14180625653468)",113.77962204792098
1049,-54.96882185620976,102.55848688036308,0.0,1.1199999999999999,-0.6400000000000001,48.89148748315592,"(93.14180625653468, 93.14180625653468)",127.22523798338793
1050,-25.819146439465094,88.49058896760837,0.0,-1.2800000000000002,-0.7200000000000004,48.75292341855041,"(93.14180625653468, 93.14180625653468)",104.58272531245359
